Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,"C1,C2,C3,C4,C9",5,Samsung Electro-Mechanics,CL05A105KA5NQNC ,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,0402,SMD,
2,"C5,C6",2,Samsung Electro-Mechanics,CL05B103KB5NNNC ,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,0402,SMD,
3,"C7,C8",2,FH (Guangdong Fenghua Advanced Tech) ,0603CG300J500NT ,50V 30pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,0603,SMD,
4,C10,1,Samsung Electro-Mechanics,CL31A226KAHNNNE ,25V 22uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1206,SMD,
5,D1,1,Hubei KENTO Elec ,KT-0603R ,-40℃~+85℃ Red 0603 Light Emitting Diodes (LED) ROHS ,0603,SMD,
6,J2,1,,,Pin Header_2x03_P2.54mm_Vertical,SMT-2x03P,thru-hole,
7,"J3,J4",2,MAX,MX15EDGRC-3.81-15P-GN01-Cu-A ,"300V 8A 15 Bend -40℃~+105℃ Copper Alloy 1 3.81mm 1x15P Green Board Edge/Receptacle-Close Tin Push-Pull,P=3.81mm Pluggable System Terminal Block ROHS ",SMT-15P,thru-hole,
8,J8,1,,Conn_02x05_Odd_Even,Pin Header_2x04_P2.54mm_Vertical,SMT-2x04P,thru-hole,
9,"J9,J10",2,DORABO,DB127S-5.08-4P-GN ,P=5.08mm Screw terminal ROHS ,SMT-4P,thru-hole,
10,Q1,1,Alpha & Omega Semicon,AO3401A,"30V 4A 44mΩ@10V,4.3A 1.4W 1.3V@250uA 1PCSPChannel SOT-23 MOSFETs ROHS ",23-SOT,SMD,
11,"R1,R2,R7",3,UNI-ROYAL(厚声),0603WAF1002T5E,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
12,"R3,R9,R13,R17,R21,R25,R29,R33,R37,R41",10,UNI-ROYAL(厚声),0603WAF6801T5E ,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 6.8kΩ 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
13,"R4,R10,R14,R18,R22,R26,R30,R34,R38,R42",10,UNI-ROYAL(厚声),0603WAF2702T5E ,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 27kΩ 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
14,"R5,R11,R15,R19,R23,R27,R31,R35,R39,R43",10,UNI-ROYAL(厚声),0603WAF1002T5E ,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
15,"R6,R12,R16,R20,R24,R28,R32,R36,R40,R44",10,UNI-ROYAL(厚声),0603WAF1004T5E ,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1MΩ 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
16,R8,1,UNI-ROYAL(厚声),0402WGF1200TCE ,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS ,0402,SMD,
17,R45,1,UNI-ROYAL(厚声),0603WAF6800T5E ,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 680Ω 0603 Chip Resistor - Surface Mount ROHS ,0603,SMD,
18,SW1,1,XKB Connection ,TS-1187A-B-A-B ,"No Without 50mA 5.1mm 100,000 Times 160gf 12V 5.1mm 1.5mm Round Button Brick nogging SPST SMD Tactile Switches ROHS",SMD,SMD,
19,U1,1,Advanced Monolithic Systems ,AMS1117-3.3,72dB@(120Hz) 1A Fixed 3.3V Positive electrode SOT-223-3 Linear Voltage Regulators (LDO) ROHS ,223-3-SOT,SMD,
20,U2,1,STMicroelectronics,STM32F103C8T6,64KB 2V~3.6V ARM-M3 20KB 72MHz FLASH 37 LQFP-48(7x7) Microcontroller Units (MCUs/MPUs/SOCs) ROHS ,48-LQFP,SMD/LQFP,
21,U3,1,"MaxLinear, Inc.",SP3485EN-L_TR,transceiver 10Mbps 1/1 SOIC-8 RS-485/RS-422 ICs ROHS ,8-SOIC,SMD,
22,Y1,1,YXC ,X50328MSB2GI ,8MHz Surface mount crystal oscillator 20pF ±10ppm ±20ppm SMD5032 Crystals ROHS ,SMD,SMD,
